Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
CAG,ConagraBrands,reports,ConsumerStaples,PackagedFoods&Meats,Chicago,Illinois,1983-08-31,0000023217,1919
COP,ConocoPhillips,reports,Energy,Oil&GasExploration&Production,Houston,Texas,1957-03-04,0001163165,2002
ED,ConEdison,reports,Utilities,ElectricUtilities,NewYorkCity,NewYork,,0001047862,1823
STZ,ConstellationBrands,reports,ConsumerStaples,Distillers&Vintners,Victor,NewYork,2005-07-01,0000016918,1945
CEG,ConstellationEnergy,reports,Utilities,Multi-Utilities,Baltimore,Maryland,2022-02-02,0001868275,1999
COO,CooperCompanies,reports,HealthCare,HealthCareSupplies,SanRamon,California,2016-09-23,0000711404,1958
CPRT,Copart,reports,Industrials,DiversifiedSupportServices,Dallas,Texas,2018-07-02,0000900075,1982
GLW,Corning,reports,InformationTechnology,ElectronicComponents,Corning,NewYork,,0000024741,1851
CTVA,Corteva,reports,Materials,Fertilizers&AgriculturalChemicals,Wilmington,Delaware,2019-06-03,0001755672,2019
COST,Costco,reports,ConsumerStaples,Hypermarkets&SuperCenters,Issaquah,Washington,1993-10-01,0000909832,1976
CTRA,Coterra,reports,Energy,Oil&GasExploration&Production,Houston,Texas,2008-06-23,0000858470,2021(1989)
CCI,CrownCastle,reports,RealEstate,SpecializedREITs,Houston,Texas,2012-03-14,0001051470,1994
CSX,CSX,reports,Industrials,Railroads,Jacksonville,Florida,1967-09-30,0000277948,1980
CMI,Cummins,reports,Industrials,IndustrialMachinery,Columbus,Indiana,1965-03-31,0000026172,1919
CVS,CVSHealth,reports,HealthCare,HealthCareServices,Woonsocket,RhodeIsland,1957-03-04,0000064803,1996
DHI,D.R.Horton,reports,ConsumerDiscretionary,Homebuilding,Arlington,Texas,2005-06-22,0000882184,1978
DHR,Danaher,reports,HealthCare,HealthCareEquipment,Washington,D.C.,,0000313616,1969
DRI,Darden,reports,ConsumerDiscretionary,Restaurants,Orlando,Florida,,0000940944,1938
DVA,DaVita,reports,HealthCare,HealthCareFacilities,Denver,Colorado,2008-07-31,0000927066,1979
DE,Deere&Co.,reports,Industrials,Agricultural&FarmMachinery,Moline,Illinois,1957-03-04,0000315189,1837
DAL,DeltaAirLines,reports,Industrials,Airlines,Atlanta,Georgia,2013-09-11,0000027904,1929
XRAY,DentsplySirona,reports,HealthCare,HealthCareSupplies,Charlotte,NorthCarolina,2008-11-14,0000818479,2016(1969)
DVN,Devon,reports,Energy,Oil&GasExploration&Production,OklahomaCity,Oklahoma,2000-08-30,0001090012,1971
DXCM,DexCom,reports,HealthCare,HealthCareEquipment,SanDiego,California,2020-05-12,0001093557,1999
FANG,Diamondback,reports,Energy,Oil&GasExploration&Production,Midland,Texas,2018-12-03,0001539838,2007
DLR,DigitalRealty,reports,RealEstate,SpecializedREITs,Austin,Texas,2016-05-18,0001297996,2004
DFS,Discover,reports,Financials,ConsumerFinance,Riverwoods,Illinois,2007-07-02,0001393612,1985
DISH,Dish,reports,CommunicationServices,Cable&Satellite,Meridian,Colorado,2017-03-13,0001001082,1980
DIS,Disney,reports,CommunicationServices,Movies&Entertainment,Burbank,California,1976-06-30,0001744489,1923
DG,DollarGeneral,reports,ConsumerDiscretionary,GeneralMerchandiseStores,Goodlettsville,Tennessee,2012-12-03,0000029534,1939
DLTR,DollarTree,reports,ConsumerDiscretionary,GeneralMerchandiseStores,Chesapeake,Virginia,2011-12-19,0000935703,1986
D,DominionEnergy,reports,Utilities,ElectricUtilities,Richmond,Virginia,,0000715957,1983
DPZ,Domino's,reports,ConsumerDiscretionary,Restaurants,AnnArbor,Michigan,2020-05-12,0001286681,1960
DOV,Dover,reports,Industrials,IndustrialMachinery,DownersGrove,Illinois,1985-10-31,0000029905,1955
DOW,Dow,reports,Materials,CommodityChemicals,Midland,Michigan,2019-04-01,0001751788,2019
DTE,DTE,reports,Utilities,Multi-Utilities,Detroit,Michigan,1957-03-04,0000936340,1995
DUK,DukeEnergy,reports,Utilities,ElectricUtilities,Charlotte,NorthCarolina,1976-06-30,0001326160,1904
DRE,DukeRealty,reports,RealEstate,IndustrialREITs,Indianapolis,Indiana,2017-07-26,0000783280,1972
DD,DuPont,reports,Materials,SpecialtyChemicals,Wilmington,Delaware,2019-04-02,0001666700,2017
DXC,DXCTechnology,reports,InformationTechnology,ITConsulting&OtherServices,TysonsCorner,Virginia,2017-04-04,0001688568,2017
EMN,Eastman,reports,Materials,DiversifiedChemicals,Kingsport,Tennessee,1994-01-01,0000915389,1920
ETN,Eaton,reports,Industrials,ElectricalComponents&Equipment,Dublin,Ireland,,0001551182,1911
EBAY,eBay,reports,ConsumerDiscretionary,Internet&DirectMarketingRetail,SanJose,California,2002-07-22,0001065088,1995
ECL,Ecolab,reports,Materials,SpecialtyChemicals,SaintPaul,Minnesota,1989-01-31,0000031462,1923
EIX,EdisonInternational,reports,Utilities,ElectricUtilities,Rosemead,California,1957-03-04,0000827052,1886
EW,EdwardsLifesciences,reports,HealthCare,HealthCareEquipment,Irvine,California,2011-04-01,0001099800,1958
EA,ElectronicArts,reports,CommunicationServices,InteractiveHomeEntertainment,RedwoodCity,California,2002-07-22,0000712515,1982
EMR,Emerson,reports,Industrials,ElectricalComponents&Equipment,Ferguson,Missouri,1965-03-31,0000032604,1890
ENPH,Enphase,reports,InformationTechnology,ElectronicComponents,Fremont,California,2021-01-07,0001463101,2006
ETR,Entergy,reports,Utilities,ElectricUtilities,NewOrleans,Louisiana,1957-03-04,0000065984,1913
EOG,EOGResources,reports,Energy,Oil&GasExploration&Production,Houston,Texas,2000-11-02,0000821189,1999
EPAM,EPAM,reports,InformationTechnology,ITConsulting&OtherServices,Newtown,Pennsylvania,2021-12-14,0001352010,1993
EFX,Equifax,reports,Industrials,Research&ConsultingServices,Atlanta,Georgia,1997-06-19,0000033185,1899
EQIX,Equinix,reports,RealEstate,SpecializedREITs,RedwoodCity,California,2015-03-20,0001101239,1998
EQR,EquityResidential,reports,RealEstate,ResidentialREITs,Chicago,Illinois,2001-12-03,0000906107,1969
ESS,Essex,reports,RealEstate,ResidentialREITs,SanMateo,California,2014-04-02,0000920522,1971
EL,EstéeLauderCompanies,reports,ConsumerStaples,PersonalProducts,NewYorkCity,NewYork,2006-01-05,0001001250,1946
ETSY,Etsy,reports,ConsumerDiscretionary,Internet&DirectMarketingRetail,NewYorkCity,NewYork,2020-09-21,0001370637,2005
RE,Everest,reports,Financials,Reinsurance,Hamilton,Bermuda,2017-06-19,0001095073,1973
EVRG,Evergy,reports,Utilities,ElectricUtilities,KansasCity,Missouri,2018-06-05,0001711269,1909
ES,Eversource,reports,Utilities,Multi-Utilities,Hartford,Connecticut,2009,0000072741,1966
EXC,Exelon,reports,Utilities,Multi-Utilities,Chicago,Illinois,1957-03-04,0001109357,2000
